Day of created_at,TrumpWords,Number of Records
4/3/2020,Virus,12
4/3/2020,time,8
4/3/2020,testing,2
4/3/2020,stop,6
4/3/2020,right,4
4/3/2020,response,9
4/3/2020,public,5
4/3/2020,press,2
4/3/2020,pandemic,4
4/3/2020,news,2
4/3/2020,media,1
4/3/2020,man,3
4/3/2020,lies,1
4/3/2020,help,7
4/3/2020,health,7
4/3/2020,Great,2
4/3/2020,GOOD,5
4/3/2020,deaths,2
4/3/2020,DAY,1
4/3/2020,crisis,2
4/3/2020,country,3
4/3/2020,Care,3
4/3/2020,Americans,2
4/3/2020,AMERICAN,4
4/3/2020,America,2
4/3/2020,administration,7
5/3/2020,world,5
5/3/2020,virus,11
5/3/2020,time,4
5/3/2020,testing,6
5/3/2020,stop,3
5/3/2020,States,3
5/3/2020,right,5
5/3/2020,response,6
5/3/2020,public,3
5/3/2020,Pandemic,3
5/3/2020,News,4
5/3/2020,media,1
5/3/2020,man,1
5/3/2020,lives,3
5/3/2020,lies,1
5/3/2020,help,3
5/3/2020,health,9
5/3/2020,great,3
5/3/2020,good,3
5/3/2020,crisis,5
5/3/2020,country,2
5/3/2020,China,2
5/3/2020,care,3
5/3/2020,Americans,4
5/3/2020,American,3
5/3/2020,America,3
5/3/2020,administration,7
6/3/2020,World,5
6/3/2020,virus,21
6/3/2020,time,9
6/3/2020,testing,16
6/3/2020,stop,5
6/3/2020,States,3
6/3/2020,right,3
6/3/2020,response,5
6/3/2020,public,8
6/3/2020,pandemic,8
6/3/2020,news,4
6/3/2020,Man,3
6/3/2020,lives,3
6/3/2020,lies,9
6/3/2020,HELP,2
6/3/2020,health,9
6/3/2020,great,4
6/3/2020,Good,4
6/3/2020,deaths,5
6/3/2020,day,3
6/3/2020,crisis,6
6/3/2020,country,1
6/3/2020,China,8
6/3/2020,care,7
6/3/2020,Americans,7
6/3/2020,American,5
6/3/2020,America,5
6/3/2020,Administration,23
7/3/2020,world,10
7/3/2020,virus,14
7/3/2020,time,6
7/3/2020,testing,20
7/3/2020,Stop,6
7/3/2020,States,7
7/3/2020,Right,2
7/3/2020,response,10
7/3/2020,public,8
7/3/2020,pandemic,6
7/3/2020,News,5
7/3/2020,media,1
7/3/2020,man,2
7/3/2020,lives,3
7/3/2020,lies,8
7/3/2020,help,3
7/3/2020,Health,8
7/3/2020,great,3
7/3/2020,good,6
7/3/2020,deaths,4
7/3/2020,day,4
7/3/2020,crisis,14
7/3/2020,country,8
7/3/2020,China,3
7/3/2020,care,1
7/3/2020,Americans,6
7/3/2020,American,5
7/3/2020,America,7
7/3/2020,administration,13
8/3/2020,world,6
8/3/2020,virus,13
8/3/2020,time,7
8/3/2020,Testing,3
8/3/2020,stop,9
8/3/2020,states,4
8/3/2020,right,7
8/3/2020,response,13
8/3/2020,public,8
8/3/2020,press,1
8/3/2020,pandemic,11
8/3/2020,News,4
8/3/2020,media,5
8/3/2020,man,5
8/3/2020,lives,2
8/3/2020,lies,30
8/3/2020,help,2
8/3/2020,health,17
8/3/2020,Great,6
8/3/2020,good,6
8/3/2020,deaths,2
8/3/2020,day,8
8/3/2020,crisis,13
8/3/2020,country,8
8/3/2020,China,2
8/3/2020,care,7
8/3/2020,Americans,10
8/3/2020,American,5
8/3/2020,America,4
8/3/2020,Administration,23
9/3/2020,world,6
9/3/2020,Virus,18
9/3/2020,time,15
9/3/2020,testing,5
9/3/2020,stop,11
9/3/2020,states,3
9/3/2020,right,12
9/3/2020,Response,12
9/3/2020,public,10
9/3/2020,press,12
9/3/2020,pandemic,15
9/3/2020,news,8
9/3/2020,media,7
9/3/2020,man,6
9/3/2020,lives,2
9/3/2020,lies,9
9/3/2020,help,3
9/3/2020,health,15
9/3/2020,Great,10
9/3/2020,good,18
9/3/2020,Day,4
9/3/2020,crisis,15
9/3/2020,country,7
9/3/2020,China,3
9/3/2020,care,14
9/3/2020,Americans,13
9/3/2020,American,9
9/3/2020,America,8
9/3/2020,Administration,23
10/3/2020,world,4
10/3/2020,virus,15
10/3/2020,time,9
10/3/2020,testing,12
10/3/2020,stop,10
10/3/2020,States,4
10/3/2020,right,10
10/3/2020,response,9
10/3/2020,public,5
10/3/2020,press,4
10/3/2020,pandemic,4
10/3/2020,News,18
10/3/2020,media,30
10/3/2020,man,9
10/3/2020,lives,10
10/3/2020,lies,12
10/3/2020,help,7
10/3/2020,health,4
10/3/2020,great,7
10/3/2020,good,14
10/3/2020,deaths,3
10/3/2020,day,6
10/3/2020,crisis,6
10/3/2020,country,8
10/3/2020,China,3
10/3/2020,care,14
10/3/2020,Americans,6
10/3/2020,American,5
10/3/2020,America,5
10/3/2020,administration,13
11/3/2020,world,2
11/3/2020,virus,11
11/3/2020,time,19
11/3/2020,testing,7
11/3/2020,stop,5
11/3/2020,States,7
11/3/2020,right,5
11/3/2020,RESPONSE,14
11/3/2020,public,8
11/3/2020,pandemic,10
11/3/2020,news,5
11/3/2020,media,7
11/3/2020,man,3
11/3/2020,lives,8
11/3/2020,lies,7
11/3/2020,help,7
11/3/2020,health,5
11/3/2020,great,2
11/3/2020,Good,9
11/3/2020,deaths,2
11/3/2020,Day,3
11/3/2020,crisis,16
11/3/2020,country,6
11/3/2020,China,10
11/3/2020,care,6
11/3/2020,Americans,7
11/3/2020,American,6
11/3/2020,America,12
11/3/2020,administration,9
12/3/2020,world,8
12/3/2020,VIRUS,28
12/3/2020,time,32
12/3/2020,testing,24
12/3/2020,stop,23
12/3/2020,States,4
12/3/2020,right,17
12/3/2020,response,18
12/3/2020,public,7
12/3/2020,Press,6
12/3/2020,Pandemic,24
12/3/2020,news,19
12/3/2020,media,11
12/3/2020,man,6
12/3/2020,lives,6
12/3/2020,lies,15
12/3/2020,help,19
12/3/2020,health,10
12/3/2020,great,13
12/3/2020,good,8
12/3/2020,deaths,3
12/3/2020,day,8
12/3/2020,crisis,17
12/3/2020,country,23
12/3/2020,China,8
12/3/2020,care,12
12/3/2020,Americans,28
12/3/2020,American,10
12/3/2020,America,16
12/3/2020,administration,17
13/3/2020,world,15
13/3/2020,virus,27
13/3/2020,time,27
13/3/2020,testing,50
13/3/2020,stop,19
13/3/2020,states,10
13/3/2020,right,19
13/3/2020,Response,24
13/3/2020,public,9
13/3/2020,Press,21
13/3/2020,pandemic,16
13/3/2020,news,13
13/3/2020,media,12
13/3/2020,man,14
13/3/2020,lives,7
13/3/2020,Lies,17
13/3/2020,help,20
13/3/2020,health,26
13/3/2020,great,13
13/3/2020,good,22
13/3/2020,DEATHS,8
13/3/2020,day,7
13/3/2020,crisis,22
13/3/2020,country,14
