created_at,TextPivot,Number of Records
03/03/2020,world,13
03/03/2020,working,7
03/03/2020,workers,2
03/03/2020,work,26
03/03/2020,virus,35
03/03/2020,US,14
03/03/2020,Trump,15
03/03/2020,today,8
03/03/2020,time,9
03/03/2020,support,7
03/03/2020,small,2
03/03/2020,save,2
03/03/2020,right,18
03/03/2020,response,6
03/03/2020,rent,1
03/03/2020,public,7
03/03/2020,paying,8
03/03/2020,pay,78
03/03/2020,pandemic,11
03/03/2020,package,2
03/03/2020,open,1
03/03/2020,new,2
03/03/2020,needed,2
03/03/2020,money,84
03/03/2020,million,3
03/03/2020,lives,3
03/03/2020,latest,5
03/03/2020,jobs,9
03/03/2020,income,8
03/03/2020,impact,15
03/03/2020,home,7
03/03/2020,help,16
03/03/2020,health,26
03/03/2020,government,25
03/03/2020,good,6
03/03/2020,global,12
03/03/2020,economy,41
03/03/2020,economic,9
03/03/2020,crisis,7
03/03/2020,country,6
03/03/2020,China,5
03/03/2020,care,6
03/03/2020,businesses,1
03/03/2020,business,45
03/03/2020,#economy,30
03/03/2020,#business,7
03/03/2020,@realDonaldTrump,12
04/03/2020,world,73
04/03/2020,working,43
04/03/2020,workers,92
04/03/2020,work,147
04/03/2020,virus,114
04/03/2020,US,90
04/03/2020,Trump,67
04/03/2020,today,35
04/03/2020,time,84
04/03/2020,support,45
04/03/2020,small,23
04/03/2020,save,17
04/03/2020,right,72
04/03/2020,response,48
04/03/2020,rent,8
04/03/2020,public,32
04/03/2020,paying,73
04/03/2020,pay,433
04/03/2020,pandemic,32
04/03/2020,package,14
04/03/2020,open,11
04/03/2020,new,51
04/03/2020,needed,10
04/03/2020,money,407
04/03/2020,million,23
04/03/2020,lost,15
04/03/2020,lockdown,3
04/03/2020,lives,11
04/03/2020,latest,74
04/03/2020,jobs,57
04/03/2020,income,41
04/03/2020,impact,123
04/03/2020,home,40
04/03/2020,help,90
04/03/2020,health,75
04/03/2020,government,139
04/03/2020,good,52
04/03/2020,global,87
04/03/2020,economy,297
04/03/2020,economic,38
04/03/2020,debt,21
04/03/2020,crisis,49
04/03/2020,country,47
04/03/2020,China,88
04/03/2020,care,52
04/03/2020,businesses,36
04/03/2020,business,365
04/03/2020,#economy,69
04/03/2020,#business,37
04/03/2020,@realDonaldTrump,84
05/03/2020,world,142
05/03/2020,working,33
05/03/2020,workers,72
05/03/2020,work,241
05/03/2020,virus,223
05/03/2020,US,70
05/03/2020,Trump,74
05/03/2020,today,34
05/03/2020,time,103
05/03/2020,support,39
05/03/2020,small,27
05/03/2020,save,18
05/03/2020,right,153
05/03/2020,response,30
05/03/2020,rent,15
05/03/2020,public,59
05/03/2020,paying,65
05/03/2020,pay,391
05/03/2020,pandemic,42
05/03/2020,package,4
05/03/2020,open,19
05/03/2020,new,53
05/03/2020,needed,8
05/03/2020,money,400
05/03/2020,million,32
05/03/2020,lost,15
05/03/2020,lockdown,2
05/03/2020,lives,37
05/03/2020,latest,62
05/03/2020,jobs,75
05/03/2020,income,55
05/03/2020,impact,174
05/03/2020,home,66
05/03/2020,help,77
05/03/2020,health,103
05/03/2020,government,185
05/03/2020,good,58
05/03/2020,global,99
05/03/2020,economy,337
05/03/2020,economic,44
05/03/2020,debt,7
05/03/2020,crisis,33
05/03/2020,country,32
05/03/2020,China,98
05/03/2020,care,50
05/03/2020,businesses,44
05/03/2020,business,445
05/03/2020,#economy,106
05/03/2020,#business,55
05/03/2020,@realDonaldTrump,59
06/03/2020,world,127
06/03/2020,working,50
06/03/2020,workers,92
06/03/2020,work,163
06/03/2020,virus,181
06/03/2020,US,150
06/03/2020,Trump,127
06/03/2020,today,29
06/03/2020,time,112
