created_at,TextPivot,Count of Number of Records
3/3/2020,work,447
3/3/2020,travel,319
3/3/2020,toilet,130
3/3/2020,rate,482
3/3/2020,public,431
3/3/2020,paper,135
3/3/2020,number,217
3/3/2020,home,382
4/3/2020,work,1241
4/3/2020,travel,954
4/3/2020,toilet,731
4/3/2020,rate,1416
4/3/2020,public,1300
4/3/2020,paper,726
4/3/2020,number,766
4/3/2020,home,1156
5/3/2020,work,2401
5/3/2020,travel,1260
5/3/2020,toilet,579
5/3/2020,rate,904
5/3/2020,public,1538
5/3/2020,paper,584
5/3/2020,number,910
5/3/2020,home,1554
6/3/2020,work,1711
6/3/2020,travel,1050
6/3/2020,toilet,577
6/3/2020,rate,744
6/3/2020,public,1298
6/3/2020,paper,515
6/3/2020,number,909
6/3/2020,home,1223
7/3/2020,work,1268
7/3/2020,travel,746
7/3/2020,toilet,1587
7/3/2020,rate,656
7/3/2020,public,1260
7/3/2020,paper,1210
7/3/2020,number,901
7/3/2020,home,1162
8/3/2020,work,1080
8/3/2020,travel,856
8/3/2020,toilet,1343
8/3/2020,rate,659
8/3/2020,public,1240
8/3/2020,paper,1037
8/3/2020,number,839
8/3/2020,home,1138
9/3/2020,work,2340
9/3/2020,travel,1460
9/3/2020,toilet,1436
9/3/2020,rate,1083
9/3/2020,public,1997
9/3/2020,paper,1122
9/3/2020,number,1280
9/3/2020,home,2328
10/3/2020,work,2702
10/3/2020,travel,1487
10/3/2020,toilet,1373
10/3/2020,rate,1010
10/3/2020,public,2467
10/3/2020,paper,1219
10/3/2020,number,1335
10/3/2020,home,2736
3/3/2020,work,240
3/3/2020,travel,165
3/3/2020,toilet,61
3/3/2020,rate,259
3/3/2020,public,218
3/3/2020,paper,76
3/3/2020,number,130
3/3/2020,home,243
4/3/2020,work,1032
4/3/2020,travel,688
4/3/2020,toilet,541
4/3/2020,rate,1190
4/3/2020,public,945
4/3/2020,paper,540
4/3/2020,number,703
4/3/2020,home,913
5/3/2020,work,1710
5/3/2020,travel,972
5/3/2020,toilet,370
5/3/2020,rate,588
5/3/2020,public,1050
5/3/2020,paper,375
5/3/2020,number,653
5/3/2020,home,1135
6/3/2020,work,1860
6/3/2020,travel,1154
6/3/2020,toilet,546
6/3/2020,rate,811
6/3/2020,public,1315
6/3/2020,paper,555
6/3/2020,number,983
6/3/2020,home,1398
7/3/2020,work,1034
7/3/2020,travel,676
7/3/2020,toilet,1470
7/3/2020,rate,709
7/3/2020,public,1208
7/3/2020,paper,1048
7/3/2020,number,896
7/3/2020,home,1076
8/3/2020,work,1141
8/3/2020,travel,887
8/3/2020,toilet,1409
8/3/2020,rate,687
8/3/2020,public,1229
8/3/2020,paper,1036
8/3/2020,number,913
8/3/2020,home,1213
9/3/2020,work,1761
9/3/2020,travel,1116
9/3/2020,toilet,1047
9/3/2020,rate,804
9/3/2020,public,1619
