created_at,TextPivot,Count of Number of Records
03-03-2020,world,453
03-03-2020,work,447
03-03-2020,week,196
03-03-2020,wash,301
03-03-2020,virus,905
03-03-2020,US,643
03-03-2020,UK,182
03-03-2020,U,277
03-03-2020,Trump,759
03-03-2020,travel,319
03-03-2020,toilet,130
03-03-2020,today,401
03-03-2020,time,582
03-03-2020,thread,186
03-03-2020,thing,269
03-03-2020,Thanks,341
03-03-2020,testing,453
03-03-2020,tested,350
03-03-2020,test,323
03-03-2020,stop,358
03-03-2020,stay,218
03-03-2020,state,333
03-03-2020,spread,738
03-03-2020,sick,338
03-03-2020,safe,223
03-03-2020,risk,356
03-03-2020,right,387
03-03-2020,response,334
03-03-2020,really,337
03-03-2020,read,182
03-03-2020,rate,482
03-03-2020,quarantine,157
03-03-2020,public,431
03-03-2020,protect,220
03-03-2020,positive,243
03-03-2020,Please,220
03-03-2020,patients,235
03-03-2020,paper,135
03-03-2020,panic,269
03-03-2020,pandemic,242
03-03-2020,outbreak,748
03-03-2020,number,217
03-03-2020,Not,235
03-03-2020,news,397
03-03-2020,new,609
03-03-2020,media,244
03-03-2020,latest,499
03-03-2020,Italy,214
03-03-2020,information,311
03-03-2020,infected,311
03-03-2020,home,382
03-03-2020,help,458
03-03-2020,health,678
03-03-2020,Health,309
03-03-2020,hands,732
03-03-2020,hand,399
03-03-2020,government,344
03-03-2020,good,479
03-03-2020,global,217
03-03-2020,getting,266
03-03-2020,flu,368
03-03-2020,does,258
03-03-2020,deaths,393
03-03-2020,death,330
03-03-2020,crisis,164
03-03-2020,country,354
03-03-2020,countries,234
03-03-2020,confirmed,369
03-03-2020,China,490
03-03-2020,cases,1125
03-03-2020,case,517
03-03-2020,care,341
03-03-2020,better,232
03-03-2020,best,190
03-03-2020,@realDonaldTrump,819
04-03-2020,world,1398
04-03-2020,work,1241
04-03-2020,week,625
04-03-2020,wash,847
04-03-2020,virus,2795
04-03-2020,US,1400
04-03-2020,UK,687
04-03-2020,U,746
04-03-2020,Trump,1321
04-03-2020,travel,954
04-03-2020,toilet,731
04-03-2020,today,1015
04-03-2020,time,1658
04-03-2020,thread,369
04-03-2020,thing,704
04-03-2020,Thanks,977
04-03-2020,testing,1020
04-03-2020,tested,1099
04-03-2020,test,973
04-03-2020,stop,987
04-03-2020,stay,727
04-03-2020,state,705
04-03-2020,spread,2538
04-03-2020,sick,932
04-03-2020,safe,767
04-03-2020,risk,1027
04-03-2020,right,922
04-03-2020,response,948
04-03-2020,really,953
04-03-2020,read,567
04-03-2020,rate,1416
04-03-2020,quarantine,514
04-03-2020,public,1300
04-03-2020,protect,749
04-03-2020,positive,1291
04-03-2020,Please,696
04-03-2020,patients,793
04-03-2020,paper,726
04-03-2020,panic,878
04-03-2020,pandemic,598
04-03-2020,outbreak,2223
04-03-2020,number,766
04-03-2020,Not,638
04-03-2020,news,1072
04-03-2020,new,2381
04-03-2020,media,698
04-03-2020,latest,1629
04-03-2020,Italy,1033
04-03-2020,information,882
04-03-2020,infected,1093
04-03-2020,home,1156
04-03-2020,help,1457
04-03-2020,health,2018
04-03-2020,Health,1136
04-03-2020,hands,1891
04-03-2020,hand,1043
04-03-2020,government,1076
04-03-2020,good,1248
04-03-2020,global,1215
04-03-2020,getting,785
04-03-2020,flu,992
04-03-2020,does,725
04-03-2020,deaths,871
04-03-2020,death,1648
04-03-2020,crisis,523
04-03-2020,country,1092
04-03-2020,countries,884
04-03-2020,confirmed,1609
04-03-2020,China,1897
04-03-2020,cases,4364
04-03-2020,case,1414
04-03-2020,care,767
04-03-2020,better,703
04-03-2020,best,656
04-03-2020,@realDonaldTrump,1621
05-03-2020,world,1690
05-03-2020,work,2401
05-03-2020,week,754
05-03-2020,wash,937
05-03-2020,virus,3629
05-03-2020,US,1645
05-03-2020,UK,973
05-03-2020,U,865
05-03-2020,Trump,1762
05-03-2020,travel,1260
05-03-2020,toilet,579
05-03-2020,today,1319
05-03-2020,time,2195
05-03-2020,thread,608
05-03-2020,thing,854
05-03-2020,Thanks,1147
05-03-2020,testing,1368
05-03-2020,tested,1127
05-03-2020,test,1182
05-03-2020,stop,1333
05-03-2020,stay,902
05-03-2020,state,1117
05-03-2020,spread,2936
05-03-2020,sick,1516
05-03-2020,safe,869
05-03-2020,risk,933
05-03-2020,right,1285
05-03-2020,response,1068
05-03-2020,really,1186
05-03-2020,read,677
05-03-2020,rate,904
05-03-2020,quarantine,635
05-03-2020,public,1538
05-03-2020,protect,944
05-03-2020,positive,1214
05-03-2020,Please,929
05-03-2020,patients,772
05-03-2020,paper,584
05-03-2020,panic,1034
05-03-2020,pandemic,710
05-03-2020,outbreak,2385
05-03-2020,number,910
05-03-2020,Not,839
05-03-2020,news,1244
05-03-2020,new,2650
05-03-2020,media,792
05-03-2020,latest,1827
05-03-2020,Italy,1234
05-03-2020,information,1053
05-03-2020,infected,1151
05-03-2020,home,1554
05-03-2020,help,1672
05-03-2020,health,2421
05-03-2020,Health,1273
05-03-2020,hands,2022
05-03-2020,hand,1240
05-03-2020,government,1220
05-03-2020,good,1512
05-03-2020,global,1074
05-03-2020,getting,1028
05-03-2020,flu,1095
05-03-2020,does,816
05-03-2020,deaths,1021
05-03-2020,death,1473
05-03-2020,crisis,826
05-03-2020,country,1299
05-03-2020,countries,915
05-03-2020,confirmed,2042
05-03-2020,China,2018
05-03-2020,cases,4769
05-03-2020,case,2154
05-03-2020,care,974
05-03-2020,better,841
05-03-2020,best,757
05-03-2020,@realDonaldTrump,2269
06-03-2020,world,1387
06-03-2020,work,1711
06-03-2020,week,835
06-03-2020,wash,703
06-03-2020,virus,2838
06-03-2020,US,1718
06-03-2020,UK,664
06-03-2020,U,747
06-03-2020,Trump,1916
06-03-2020,travel,1050
06-03-2020,toilet,577
06-03-2020,today,1067
06-03-2020,time,1991
06-03-2020,thread,317
06-03-2020,thing,761
06-03-2020,Thanks,1063
06-03-2020,testing,1296
06-03-2020,tested,1109
06-03-2020,test,1410
06-03-2020,stop,1140
06-03-2020,stay,705
06-03-2020,state,801
06-03-2020,spread,2171
06-03-2020,sick,1117
06-03-2020,safe,752
06-03-2020,risk,779
06-03-2020,right,1161
06-03-2020,response,975
06-03-2020,really,1000
06-03-2020,read,599
06-03-2020,rate,744
06-03-2020,quarantine,542
06-03-2020,public,1298
06-03-2020,protect,797
06-03-2020,positive,1113
06-03-2020,Please,737
06-03-2020,patients,665
06-03-2020,paper,515
06-03-2020,panic,885
06-03-2020,pandemic,650
06-03-2020,outbreak,1991
06-03-2020,number,909
06-03-2020,Not,818
06-03-2020,news,1142
06-03-2020,new,2345
06-03-2020,media,662
06-03-2020,latest,1680
06-03-2020,Italy,823
06-03-2020,information,867
06-03-2020,infected,950
06-03-2020,home,1223
06-03-2020,help,1374
06-03-2020,health,2179
06-03-2020,Health,958
06-03-2020,hands,1507
06-03-2020,hand,976
06-03-2020,government,1038
06-03-2020,good,1376
06-03-2020,global,809
06-03-2020,getting,870
06-03-2020,flu,950
06-03-2020,does,805
06-03-2020,deaths,895
06-03-2020,death,817
06-03-2020,crisis,993
06-03-2020,country,1091
06-03-2020,countries,775
06-03-2020,confirmed,1726
06-03-2020,China,1747
06-03-2020,cases,4708
06-03-2020,case,1901
06-03-2020,care,924
06-03-2020,better,700
06-03-2020,best,661
06-03-2020,@realDonaldTrump,1892
07-03-2020,world,1493
07-03-2020,work,1268
07-03-2020,week,720
07-03-2020,wash,725
07-03-2020,virus,2651
07-03-2020,US,2160
07-03-2020,UK,499
07-03-2020,U,683
07-03-2020,Trump,1966
07-03-2020,travel,746
07-03-2020,toilet,1587
07-03-2020,today,884
07-03-2020,time,1923
07-03-2020,thread,1417
07-03-2020,thing,897
07-03-2020,Thanks,1115
07-03-2020,testing,1281
07-03-2020,tested,1135
07-03-2020,test,1302
07-03-2020,stop,1031
07-03-2020,stay,769
07-03-2020,state,1181
07-03-2020,spread,1991
07-03-2020,sick,856
07-03-2020,safe,673
07-03-2020,risk,1005
07-03-2020,right,1045
07-03-2020,response,775
07-03-2020,really,1138
07-03-2020,read,1056
07-03-2020,rate,656
07-03-2020,quarantine,738
07-03-2020,public,1260
07-03-2020,protect,626
07-03-2020,positive,1210
07-03-2020,Please,713
07-03-2020,patients,741
07-03-2020,paper,1210
07-03-2020,panic,1278
07-03-2020,pandemic,622
07-03-2020,outbreak,1523
07-03-2020,number,901
07-03-2020,Not,757
07-03-2020,news,866
07-03-2020,new,2096
07-03-2020,media,668
07-03-2020,latest,1634
07-03-2020,Italy,1101
07-03-2020,information,685
07-03-2020,infected,945
07-03-2020,home,1162
07-03-2020,help,1264
07-03-2020,health,1908
07-03-2020,Health,840
07-03-2020,hands,1495
07-03-2020,hand,1148
07-03-2020,government,958
07-03-2020,good,1421
07-03-2020,global,552
07-03-2020,getting,871
07-03-2020,flu,1101
07-03-2020,does,877
07-03-2020,deaths,1126
07-03-2020,death,1051
07-03-2020,crisis,656
07-03-2020,country,1146
07-03-2020,countries,890
07-03-2020,confirmed,1692
07-03-2020,China,1625
07-03-2020,cases,4431
07-03-2020,case,1581
07-03-2020,care,981
07-03-2020,better,701
07-03-2020,best,661
07-03-2020,@realDonaldTrump,1600
08-03-2020,world,1351
08-03-2020,work,1080
08-03-2020,week,736
08-03-2020,wash,711
08-03-2020,virus,2562
08-03-2020,US,2074
08-03-2020,UK,638
08-03-2020,U,655
08-03-2020,Trump,2182
08-03-2020,travel,856
08-03-2020,toilet,1343
08-03-2020,today,810
08-03-2020,time,1815
08-03-2020,thread,1707
08-03-2020,thing,823
08-03-2020,Thanks,1041
08-03-2020,testing,1174
08-03-2020,tested,1064
08-03-2020,test,1241
