created_at,TextPivot,Count of Number of Records
3/3/2020,world,453
3/3/2020,UK,182
3/3/2020,Trump,759
3/3/2020,travel,319
3/3/2020,spread,738
3/3/2020,panic,269
3/3/2020,news,397
3/3/2020,media,244
3/3/2020,Italy,214
3/3/2020,information,311
3/3/2020,government,344
3/3/2020,global,217
3/3/2020,crisis,164
3/3/2020,country,354
3/3/2020,countries,234
4/3/2020,world,1398
4/3/2020,UK,687
4/3/2020,Trump,1321
4/3/2020,travel,954
4/3/2020,spread,2538
4/3/2020,panic,878
4/3/2020,news,1072
4/3/2020,media,698
4/3/2020,Italy,1033
4/3/2020,information,882
4/3/2020,government,1076
4/3/2020,global,1215
4/3/2020,crisis,523
4/3/2020,country,1092
4/3/2020,countries,884
5/3/2020,world,1690
5/3/2020,UK,973
5/3/2020,Trump,1762
5/3/2020,travel,1260
5/3/2020,spread,2936
5/3/2020,panic,1034
5/3/2020,news,1244
5/3/2020,media,792
5/3/2020,Italy,1234
5/3/2020,information,1053
5/3/2020,government,1220
5/3/2020,global,1074
5/3/2020,crisis,826
5/3/2020,country,1299
5/3/2020,countries,915
6/3/2020,world,1387
6/3/2020,UK,664
6/3/2020,Trump,1916
6/3/2020,travel,1050
6/3/2020,spread,2171
6/3/2020,panic,885
6/3/2020,news,1142
6/3/2020,media,662
6/3/2020,Italy,823
6/3/2020,information,867
6/3/2020,government,1038
6/3/2020,global,809
6/3/2020,crisis,993
6/3/2020,country,1091
6/3/2020,countries,775
7/3/2020,world,1493
7/3/2020,UK,499
7/3/2020,Trump,1966
7/3/2020,travel,746
7/3/2020,spread,1991
7/3/2020,panic,1278
7/3/2020,news,866
7/3/2020,media,668
7/3/2020,Italy,1101
7/3/2020,information,685
7/3/2020,government,958
7/3/2020,global,552
7/3/2020,crisis,656
7/3/2020,country,1146
7/3/2020,countries,890
8/3/2020,world,1351
8/3/2020,UK,638
8/3/2020,Trump,2182
8/3/2020,travel,856
8/3/2020,spread,1984
8/3/2020,panic,1024
8/3/2020,news,898
8/3/2020,media,721
8/3/2020,Italy,2216
8/3/2020,information,685
8/3/2020,government,992
8/3/2020,global,466
8/3/2020,crisis,711
8/3/2020,country,1107
8/3/2020,countries,783
9/3/2020,world,2280
9/3/2020,UK,1291
9/3/2020,Trump,3977
9/3/2020,travel,1460
9/3/2020,spread,3306
9/3/2020,panic,1722
9/3/2020,news,1721
9/3/2020,media,1415
9/3/2020,Italy,3369
9/3/2020,information,1242
9/3/2020,government,1702
9/3/2020,global,1149
9/3/2020,crisis,1264
9/3/2020,country,2245
9/3/2020,countries,1399
10/3/2020,world,2362
10/3/2020,UK,1374
10/3/2020,Trump,3325
10/3/2020,travel,1487
10/3/2020,spread,4072
10/3/2020,panic,1548
10/3/2020,news,1896
10/3/2020,media,1453
10/3/2020,Italy,4367
10/3/2020,information,1424
10/3/2020,government,1719
10/3/2020,global,1003
10/3/2020,crisis,1265
10/3/2020,country,2278
10/3/2020,countries,1223
3/3/2020,world,226
3/3/2020,UK,93
3/3/2020,Trump,400
3/3/2020,travel,165
3/3/2020,spreading,167
3/3/2020,spread,383
3/3/2020,panic,140
3/3/2020,news,202
3/3/2020,media,126
3/3/2020,Italy,147
3/3/2020,information,167
3/3/2020,government,178
3/3/2020,global,136
3/3/2020,crisis,105
3/3/2020,country,163
3/3/2020,countries,140
4/3/2020,world,1118
4/3/2020,UK,657
4/3/2020,Trump,1003
4/3/2020,travel,688
4/3/2020,spreading,625
4/3/2020,spread,2082
4/3/2020,panic,710
4/3/2020,news,764
4/3/2020,media,501
4/3/2020,Italy,823
4/3/2020,information,679
4/3/2020,government,765
4/3/2020,global,1044
4/3/2020,crisis,389
4/3/2020,country,824
4/3/2020,countries,727
5/3/2020,world,1160
5/3/2020,UK,741
5/3/2020,Trump,1194
5/3/2020,travel,972
5/3/2020,spreading,674
5/3/2020,spread,2094
5/3/2020,panic,711
5/3/2020,news,816
5/3/2020,media,498
5/3/2020,Italy,979
5/3/2020,information,776
5/3/2020,government,898
5/3/2020,global,819
5/3/2020,crisis,531
5/3/2020,country,936
5/3/2020,countries,725
6/3/2020,world,1588
6/3/2020,UK,641
6/3/2020,Trump,2095
6/3/2020,travel,1154
6/3/2020,spreading,726
6/3/2020,spread,2298
6/3/2020,panic,997
6/3/2020,news,1172
6/3/2020,media,749
6/3/2020,Italy,887
6/3/2020,information,943
6/3/2020,government,1096
6/3/2020,global,888
6/3/2020,crisis,1136
6/3/2020,country,1180
6/3/2020,countries,812
7/3/2020,world,1361
7/3/2020,UK,483
7/3/2020,Trump,1793
7/3/2020,travel,676
7/3/2020,spreading,632
7/3/2020,spread,1677
7/3/2020,panic,1136
7/3/2020,news,818
7/3/2020,media,640
7/3/2020,Italy,1114
7/3/2020,information,623
7/3/2020,government,877
7/3/2020,global,532
7/3/2020,crisis,586
7/3/2020,country,1158
7/3/2020,countries,735
8/3/2020,world,1390
8/3/2020,UK,670
8/3/2020,Trump,2124
8/3/2020,travel,887
8/3/2020,spreading,642
8/3/2020,spread,2116
8/3/2020,panic,1109
8/3/2020,news,921
8/3/2020,media,757
8/3/2020,Italy,2555
8/3/2020,information,637
8/3/2020,government,1098
8/3/2020,global,519
8/3/2020,crisis,713
8/3/2020,country,1177
8/3/2020,countries,834
9/3/2020,world,1771
9/3/2020,UK,1041
9/3/2020,Trump,2768
9/3/2020,travel,1116
9/3/2020,spreading,795
9/3/2020,spread,2495
9/3/2020,panic,1369
9/3/2020,news,1239
9/3/2020,media,974
9/3/2020,Italy,2468
9/3/2020,information,899
9/3/2020,government,1322
9/3/2020,global,912
9/3/2020,crisis,928
9/3/2020,country,1723
9/3/2020,countries,1051
10/3/2020,world,2022
10/3/2020,UK,1194
10/3/2020,Trump,2551
10/3/2020,travel,1166
10/3/2020,spreading,769
10/3/2020,spread,3135
10/3/2020,panic,1210
10/3/2020,news,1426
10/3/2020,media,1107
10/3/2020,Italy,3414
10/3/2020,information,1094
10/3/2020,government,1409
10/3/2020,global,815
10/3/2020,crisis,1102
10/3/2020,country,1923
10/3/2020,countries,987
11/3/2020,world,1988
11/3/2020,UK,1069
11/3/2020,Trump,2185
11/3/2020,travel,1306
11/3/2020,spread,3168
11/3/2020,news,1414
11/3/2020,Italy,2043
11/3/2020,information,1167
11/3/2020,government,1548
11/3/2020,crisis,1212
11/3/2020,country,1586
11/3/2020,countries,1274
11/3/2020,closed,769
11/3/2020,close,1069
12/3/2020,world,1821
12/3/2020,UK,1035
12/3/2020,Trump,2129
12/3/2020,travel,1813
12/3/2020,spread,2127
12/3/2020,news,1103
12/3/2020,Italy,975
12/3/2020,information,740
12/3/2020,government,1237
12/3/2020,crisis,951
12/3/2020,country,1312
12/3/2020,countries,941
12/3/2020,closed,805
12/3/2020,close,953
13/3/2020,world,2891
13/3/2020,UK,1150
13/3/2020,Trump,3597
13/3/2020,travel,1140
13/3/2020,spread,2834
13/3/2020,news,1639
13/3/2020,Italy,1214
13/3/2020,information,1123
13/3/2020,government,1810
13/3/2020,crisis,1407
13/3/2020,country,1705
13/3/2020,countries,971
13/3/2020,closed,1205
13/3/2020,close,1270
14/3/2020,world,3133
14/3/2020,UK,1955
14/3/2020,Trump,2889
14/3/2020,travel,1134
14/3/2020,spread,2750
14/3/2020,news,1566
14/3/2020,Italy,1736
14/3/2020,information,913
14/3/2020,government,2063
14/3/2020,crisis,1467
14/3/2020,country,1915
14/3/2020,countries,1215
14/3/2020,closed,1070
14/3/2020,close,1175
15/3/2020,world,1791
15/3/2020,UK,1058
15/3/2020,Trump,1561
15/3/2020,travel,859
15/3/2020,spread,2351
15/3/2020,news,1128
15/3/2020,Italy,1586
15/3/2020,information,744
15/3/2020,government,1482
15/3/2020,crisis,1084
15/3/2020,country,1298
15/3/2020,countries,937
15/3/2020,closed,806
15/3/2020,close,1018
16/3/2020,world,2726
16/3/2020,UK,1511
16/3/2020,Trump,1889
16/3/2020,travel,1072
16/3/2020,spread,3543
16/3/2020,news,1737
16/3/2020,Italy,2441
16/3/2020,information,1438
16/3/2020,government,2117
16/3/2020,crisis,2193
16/3/2020,country,1908
16/3/2020,countries,1004
16/3/2020,closed,1611
16/3/2020,close,1752
11/3/2020,world,1916
11/3/2020,UK,1226
11/3/2020,Trump,2057
11/3/2020,travel,1231
11/3/2020,spread,2973
11/3/2020,panic,1032
11/3/2020,news,1344
11/3/2020,measures,1018
11/3/2020,Italy,2126
11/3/2020,information,1121
11/3/2020,government,1436
11/3/2020,crisis,1161
11/3/2020,country,1551
11/3/2020,countries,1280
11/3/2020,closed,791
11/3/2020,close,1060
12/3/2020,world,2585
12/3/2020,UK,1743
12/3/2020,Trump,3409
12/3/2020,travel,2856
12/3/2020,spread,2861
12/3/2020,panic,1006
12/3/2020,news,1596
12/3/2020,measures,1026
12/3/2020,Italy,1512
12/3/2020,information,959
12/3/2020,government,1593
12/3/2020,crisis,1237
12/3/2020,country,1738
12/3/2020,countries,1266
12/3/2020,closed,980
12/3/2020,close,1139
13/3/2020,world,2959
13/3/2020,UK,1447
13/3/2020,Trump,3308
13/3/2020,travel,1214
13/3/2020,spread,3129
13/3/2020,panic,1242
13/3/2020,news,1842
13/3/2020,measures,1134
13/3/2020,Italy,1344
13/3/2020,information,1195
13/3/2020,government,2095
13/3/2020,crisis,1629
13/3/2020,country,1833
13/3/2020,countries,1178
13/3/2020,closed,1411
13/3/2020,close,1366
14/3/2020,world,1946
14/3/2020,UK,1378
14/3/2020,Trump,1654
14/3/2020,travel,738
14/3/2020,spread,1778
14/3/2020,panic,743
14/3/2020,news,926
14/3/2020,measures,641
14/3/2020,Italy,1137
14/3/2020,information,663
14/3/2020,government,1257
14/3/2020,crisis,845
14/3/2020,country,1195
14/3/2020,countries,769
14/3/2020,closed,636
14/3/2020,close,743
15/3/2020,world,2171
15/3/2020,UK,1286
15/3/2020,Trump,1983
15/3/2020,travel,1051
15/3/2020,spread,2891
15/3/2020,panic,1040
15/3/2020,news,1220
15/3/2020,measures,947
15/3/2020,Italy,1687
15/3/2020,information,860
15/3/2020,government,1848
15/3/2020,crisis,1255
15/3/2020,country,1683
15/3/2020,countries,1083
15/3/2020,closed,955
15/3/2020,close,1136
16/3/2020,world,2553
16/3/2020,UK,1540
16/3/2020,Trump,1928
16/3/2020,travel,911
16/3/2020,spread,3032
16/3/2020,panic,1050
16/3/2020,news,1552
16/3/2020,measures,1197
16/3/2020,Italy,2701
16/3/2020,information,1213
16/3/2020,government,2043
16/3/2020,crisis,1811
16/3/2020,country,1697
16/3/2020,countries,1011
16/3/2020,closed,1492
16/3/2020,close,1630
11/3/2020,world,1308
11/3/2020,UK,708
11/3/2020,Trump,1223
11/3/2020,travel,686
11/3/2020,spread,1822
11/3/2020,President,320
11/3/2020,panic,690
11/3/2020,news,838
11/3/2020,measures,692
11/3/2020,Italy,1423
11/3/2020,information,737
11/3/2020,government,924
11/3/2020,crisis,676
11/3/2020,country,972
11/3/2020,countries,852
11/3/2020,closed,465
11/3/2020,close,623
12/3/2020,world,2536
12/3/2020,UK,1706
12/3/2020,Trump,3947
12/3/2020,travel,2986
12/3/2020,spread,3044
12/3/2020,President,1518
12/3/2020,panic,1068
12/3/2020,news,1487
12/3/2020,measures,1143
12/3/2020,Italy,1406
12/3/2020,information,1116
12/3/2020,government,1654
12/3/2020,crisis,1360
12/3/2020,country,1739
12/3/2020,countries,1219
12/3/2020,closed,1055
12/3/2020,close,1371
13/3/2020,world,1692
13/3/2020,UK,881
13/3/2020,Trump,2587
13/3/2020,travel,609
13/3/2020,spread,1757
13/3/2020,President,1063
13/3/2020,panic,645
13/3/2020,news,951
13/3/2020,measures,648
13/3/2020,Italy,711
13/3/2020,information,651
13/3/2020,government,1051
13/3/2020,crisis,885
13/3/2020,country,954
13/3/2020,countries,583
13/3/2020,closed,861
13/3/2020,close,785
14/3/2020,world,1461
14/3/2020,UK,1004
14/3/2020,Trump,1253
14/3/2020,travel,537
14/3/2020,spread,1402
14/3/2020,President,444
14/3/2020,panic,621
14/3/2020,news,769
14/3/2020,measures,483
14/3/2020,Italy,797
14/3/2020,information,504
14/3/2020,government,933
14/3/2020,crisis,727
14/3/2020,country,914
14/3/2020,countries,546
14/3/2020,closed,477
14/3/2020,close,533
15/3/2020,world,1696
15/3/2020,UK,1172
15/3/2020,Trump,1549
15/3/2020,travel,817
15/3/2020,spread,2173
15/3/2020,President,565
15/3/2020,panic,863
15/3/2020,news,960
15/3/2020,measures,688
15/3/2020,Italy,1333
15/3/2020,information,695
15/3/2020,government,1445
15/3/2020,crisis,1069
15/3/2020,country,1276
15/3/2020,countries,888
15/3/2020,closed,833
15/3/2020,close,981
16/3/2020,world,1446
16/3/2020,UK,761
16/3/2020,Trump,933
16/3/2020,travel,590
16/3/2020,spread,1719
16/3/2020,President,408
16/3/2020,panic,568
16/3/2020,news,869
16/3/2020,measures,635
16/3/2020,Italy,1580
16/3/2020,information,687
16/3/2020,government,1098
16/3/2020,crisis,902
16/3/2020,country,926
16/3/2020,countries,555
16/3/2020,closed,765
16/3/2020,close,800
17/3/2020,world,1699
17/3/2020,Trump,1318
17/3/2020,stand,882
17/3/2020,spread,1998
17/3/2020,PM,252
17/3/2020,news,1189
17/3/2020,Italy,1235
17/3/2020,Italian,802
17/3/2020,government,1404
17/3/2020,Curfew,9
17/3/2020,crisis,1297
17/3/2020,country,1065
17/3/2020,colleagues,876
17/3/2020,Cari,699
17/3/2020,amici,699
17/3/2020,#WeStandWithItaly,700
18/3/2020,world,1658
18/3/2020,Trump,1088
18/3/2020,stand,478
18/3/2020,spread,1660
18/3/2020,PM,280
18/3/2020,news,1117
18/3/2020,Italy,871
18/3/2020,Italian,403
18/3/2020,government,1123
18/3/2020,Curfew,4
18/3/2020,crisis,1273
18/3/2020,country,1056
18/3/2020,colleagues,467
18/3/2020,Cari,297
18/3/2020,amici,297
18/3/2020,#WeStandWithItaly,298
19/3/2020,world,2049
19/3/2020,Trump,1288
19/3/2020,stand,491
19/3/2020,spread,1856
19/3/2020,PM,405
19/3/2020,news,1191
19/3/2020,Janta,11
19/3/2020,Italy,1113
19/3/2020,Italian,427
19/3/2020,government,1245
19/3/2020,Curfew,21
19/3/2020,crisis,1569
19/3/2020,country,1210
19/3/2020,colleagues,439
19/3/2020,Cari,271
19/3/2020,amici,271
19/3/2020,#WeStandWithItaly,269
20/3/2020,world,1235
20/3/2020,Trump,928
20/3/2020,stand,330
20/3/2020,spread,1306
20/3/2020,PM,305
20/3/2020,news,769
20/3/2020,Janta,35
20/3/2020,Italy,708
20/3/2020,Italian,297
20/3/2020,government,846
20/3/2020,Curfew,49
20/3/2020,crisis,1111
20/3/2020,country,897
20/3/2020,colleagues,326
20/3/2020,Cari,165
20/3/2020,amici,165
20/3/2020,#WeStandWithItaly,166
21/3/2020,world,1458
21/3/2020,Trump,1274
21/3/2020,stand,1137
21/3/2020,spread,1540
21/3/2020,PM,3107
21/3/2020,news,828
21/3/2020,Janta,5621
21/3/2020,Italy,2038
21/3/2020,Italian,1127
21/3/2020,government,885
21/3/2020,Curfew,5705
21/3/2020,crisis,1124
21/3/2020,country,1139
21/3/2020,colleagues,1102
21/3/2020,Cari,968
21/3/2020,amici,968
21/3/2020,#WeStandWithItaly,969
22/3/2020,world,1733
22/3/2020,Trump,1337
22/3/2020,stand,4100
22/3/2020,spread,1835
22/3/2020,PM,865
22/3/2020,news,844
22/3/2020,Janta,886
22/3/2020,Italy,5038
22/3/2020,Italian,4130
22/3/2020,government,1153
22/3/2020,Curfew,930
22/3/2020,crisis,1275
22/3/2020,country,1409
22/3/2020,colleagues,3995
22/3/2020,Cari,3835
22/3/2020,amici,3835
22/3/2020,#WeStandWithItaly,3846
23/3/2020,world,2351
23/3/2020,Trump,1888
23/3/2020,stand,2141
23/3/2020,spread,2625
23/3/2020,PM,612
23/3/2020,news,1275
23/3/2020,Janta,24
23/3/2020,Italy,2778
23/3/2020,Italian,2192
23/3/2020,government,1627
23/3/2020,Curfew,67
23/3/2020,crisis,2597
23/3/2020,country,1867
23/3/2020,colleagues,2056
23/3/2020,Cari,1831
23/3/2020,amici,1834
23/3/2020,#WeStandWithItaly,1823
24/3/2020,world,1929
24/3/2020,Trump,1801
24/3/2020,stand,784
24/3/2020,spread,2209
24/3/2020,PM,684
24/3/2020,news,1035
24/3/2020,Janta,11
24/3/2020,Italy,1024
24/3/2020,Italian,677
24/3/2020,government,1290
24/3/2020,Curfew,33
24/3/2020,crisis,1824
24/3/2020,country,1568
24/3/2020,colleagues,628
24/3/2020,Cari,445
24/3/2020,amici,445
24/3/2020,#WeStandWithItaly,446
17/3/2020,world,1251
17/3/2020,Trump,936
17/3/2020,stand,700
17/3/2020,spread,1452
17/3/2020,PM,222
17/3/2020,news,873
17/3/2020,Italy,992
17/3/2020,Italian,674
17/3/2020,government,1058
17/3/2020,Curfew,2
17/3/2020,crisis,880
17/3/2020,country,819
17/3/2020,colleagues,679
17/3/2020,Cari,581
17/3/2020,amici,581
17/3/2020,#WeStandWithItaly,581
18/3/2020,world,1964
18/3/2020,Trump,1434
18/3/2020,stand,478
18/3/2020,spread,2085
18/3/2020,PM,339
18/3/2020,news,1355
18/3/2020,Italy,914
18/3/2020,Italian,414
18/3/2020,government,1363
18/3/2020,Curfew,20
18/3/2020,crisis,1546
18/3/2020,country,1245
18/3/2020,colleagues,465
18/3/2020,Cari,283
18/3/2020,amici,284
18/3/2020,#WeStandWithItaly,282
19/3/2020,world,1236
