created_at,TextPivot,Count of Number of Records
3/3/2020,week,196
3/3/2020,wash,301
3/3/2020,virus,905
3/3/2020,testing,453
3/3/2020,tested,350
3/3/2020,test,323
3/3/2020,stop,358
3/3/2020,stay,218
3/3/2020,spread,738
3/3/2020,sick,338
3/3/2020,safe,223
3/3/2020,risk,356
3/3/2020,response,334
3/3/2020,rate,482
3/3/2020,quarantine,157
3/3/2020,public,431
3/3/2020,positive,243
3/3/2020,patients,235
3/3/2020,pandemic,242
3/3/2020,outbreak,748
3/3/2020,number,217
3/3/2020,information,311
3/3/2020,infected,311
3/3/2020,health,678
3/3/2020,Health,309
3/3/2020,hands,732
3/3/2020,hand,399
3/3/2020,global,217
3/3/2020,getting,266
3/3/2020,flu,368
3/3/2020,deaths,393
3/3/2020,death,330
3/3/2020,crisis,164
3/3/2020,confirmed,369
3/3/2020,cases,1125
3/3/2020,case,517
3/3/2020,care,341
4/3/2020,week,625
4/3/2020,wash,847
4/3/2020,virus,2795
4/3/2020,testing,1020
4/3/2020,tested,1099
4/3/2020,test,973
4/3/2020,stop,987
4/3/2020,stay,727
4/3/2020,spread,2538
4/3/2020,sick,932
4/3/2020,safe,767
4/3/2020,risk,1027
4/3/2020,response,948
4/3/2020,rate,1416
4/3/2020,quarantine,514
4/3/2020,public,1300
4/3/2020,positive,1291
4/3/2020,patients,793
4/3/2020,pandemic,598
4/3/2020,outbreak,2223
4/3/2020,number,766
4/3/2020,information,882
4/3/2020,infected,1093
4/3/2020,health,2018
4/3/2020,Health,1136
4/3/2020,hands,1891
4/3/2020,hand,1043
4/3/2020,global,1215
4/3/2020,getting,785
4/3/2020,flu,992
4/3/2020,deaths,871
4/3/2020,death,1648
4/3/2020,crisis,523
4/3/2020,confirmed,1609
4/3/2020,cases,4364
4/3/2020,case,1414
4/3/2020,care,767
5/3/2020,week,754
5/3/2020,wash,937
5/3/2020,virus,3629
5/3/2020,testing,1368
5/3/2020,tested,1127
5/3/2020,test,1182
5/3/2020,stop,1333
5/3/2020,stay,902
5/3/2020,spread,2936
5/3/2020,sick,1516
5/3/2020,safe,869
5/3/2020,risk,933
5/3/2020,response,1068
5/3/2020,rate,904
5/3/2020,quarantine,635
5/3/2020,public,1538
5/3/2020,positive,1214
5/3/2020,patients,772
5/3/2020,pandemic,710
5/3/2020,outbreak,2385
5/3/2020,number,910
5/3/2020,information,1053
5/3/2020,infected,1151
5/3/2020,health,2421
5/3/2020,Health,1273
5/3/2020,hands,2022
5/3/2020,hand,1240
5/3/2020,global,1074
5/3/2020,getting,1028
5/3/2020,flu,1095
5/3/2020,deaths,1021
5/3/2020,death,1473
5/3/2020,crisis,826
5/3/2020,confirmed,2042
5/3/2020,cases,4769
5/3/2020,case,2154
5/3/2020,care,974
6/3/2020,week,835
6/3/2020,wash,703
6/3/2020,virus,2838
6/3/2020,testing,1296
6/3/2020,tested,1109
6/3/2020,test,1410
6/3/2020,stop,1140
6/3/2020,stay,705
6/3/2020,spread,2171
6/3/2020,sick,1117
6/3/2020,safe,752
6/3/2020,risk,779
6/3/2020,response,975
6/3/2020,rate,744
6/3/2020,quarantine,542
6/3/2020,public,1298
6/3/2020,positive,1113
6/3/2020,patients,665
6/3/2020,pandemic,650
6/3/2020,outbreak,1991
6/3/2020,number,909
6/3/2020,information,867
6/3/2020,infected,950
6/3/2020,health,2179
6/3/2020,Health,958
6/3/2020,hands,1507
6/3/2020,hand,976
6/3/2020,global,809
6/3/2020,getting,870
6/3/2020,flu,950
6/3/2020,deaths,895
6/3/2020,death,817
6/3/2020,crisis,993
6/3/2020,confirmed,1726
6/3/2020,cases,4708
6/3/2020,case,1901
6/3/2020,care,924
7/3/2020,week,720
7/3/2020,wash,725
7/3/2020,virus,2651
7/3/2020,testing,1281
7/3/2020,tested,1135
7/3/2020,test,1302
7/3/2020,stop,1031
7/3/2020,stay,769
7/3/2020,spread,1991
7/3/2020,sick,856
7/3/2020,safe,673
7/3/2020,risk,1005
7/3/2020,response,775
7/3/2020,rate,656
7/3/2020,quarantine,738
7/3/2020,public,1260
7/3/2020,positive,1210
7/3/2020,patients,741
7/3/2020,pandemic,622
7/3/2020,outbreak,1523
7/3/2020,number,901
7/3/2020,information,685
7/3/2020,infected,945
7/3/2020,health,1908
7/3/2020,Health,840
7/3/2020,hands,1495
7/3/2020,hand,1148
7/3/2020,global,552
7/3/2020,getting,871
7/3/2020,flu,1101
7/3/2020,deaths,1126
7/3/2020,death,1051
7/3/2020,crisis,656
7/3/2020,confirmed,1692
7/3/2020,cases,4431
7/3/2020,case,1581
7/3/2020,care,981
8/3/2020,week,736
8/3/2020,wash,711
8/3/2020,virus,2562
8/3/2020,testing,1174
8/3/2020,tested,1064
8/3/2020,test,1241
8/3/2020,stop,1015
8/3/2020,stay,630
8/3/2020,spread,1984
8/3/2020,sick,882
8/3/2020,safe,541
8/3/2020,risk,968
8/3/2020,response,818
8/3/2020,rate,659
8/3/2020,quarantine,1015
8/3/2020,public,1240
8/3/2020,positive,1146
8/3/2020,patients,739
8/3/2020,pandemic,603
8/3/2020,outbreak,1545
8/3/2020,number,839
8/3/2020,information,685
8/3/2020,infected,1018
8/3/2020,health,2015
8/3/2020,Health,742
8/3/2020,hands,1490
8/3/2020,hand,1064
8/3/2020,global,466
8/3/2020,getting,737
8/3/2020,flu,838
8/3/2020,deaths,1078
8/3/2020,death,993
8/3/2020,crisis,711
8/3/2020,confirmed,1307
8/3/2020,cases,4241
8/3/2020,case,1404
8/3/2020,care,1132
9/3/2020,week,1403
9/3/2020,wash,1040
9/3/2020,virus,4646
9/3/2020,testing,1652
9/3/2020,tested,2022
9/3/2020,test,1678
9/3/2020,stop,1805
9/3/2020,stay,1454
9/3/2020,spread,3306
9/3/2020,sick,1550
9/3/2020,safe,1418
9/3/2020,risk,1404
9/3/2020,response,1539
9/3/2020,rate,1083
9/3/2020,quarantine,1609
9/3/2020,public,1997
9/3/2020,positive,2034
9/3/2020,patients,1010
9/3/2020,pandemic,1610
9/3/2020,outbreak,2552
9/3/2020,number,1280
9/3/2020,information,1242
9/3/2020,infected,1565
9/3/2020,health,3311
9/3/2020,Health,1403
9/3/2020,hands,2600
9/3/2020,hand,1652
9/3/2020,global,1149
9/3/2020,getting,1524
9/3/2020,flu,2052
9/3/2020,deaths,1596
9/3/2020,death,1273
9/3/2020,crisis,1264
9/3/2020,confirmed,2224
9/3/2020,cases,6842
9/3/2020,case,1937
9/3/2020,care,1590
10/3/2020,week,1323
10/3/2020,wash,1083
10/3/2020,virus,4870
10/3/2020,testing,1993
10/3/2020,tested,2130
10/3/2020,test,1677
10/3/2020,stop,1999
10/3/2020,stay,1538
10/3/2020,spread,4072
10/3/2020,sick,1739
10/3/2020,safe,1296
10/3/2020,risk,1621
10/3/2020,response,1765
10/3/2020,rate,1010
10/3/2020,quarantine,1240
10/3/2020,public,2467
10/3/2020,positive,1971
10/3/2020,patients,1253
10/3/2020,pandemic,1379
10/3/2020,outbreak,3009
10/3/2020,number,1335
10/3/2020,information,1424
10/3/2020,infected,1545
10/3/2020,health,3770
10/3/2020,Health,1642
10/3/2020,hands,2441
10/3/2020,hand,1719
10/3/2020,global,1003
10/3/2020,getting,1630
10/3/2020,flu,1904
10/3/2020,deaths,1600
10/3/2020,death,1261
10/3/2020,crisis,1265
10/3/2020,confirmed,2261
10/3/2020,cases,6720
10/3/2020,case,2051
10/3/2020,care,1797
3/3/2020,weeks,125
