created_at,TextPivot,Count of Number of Records
3/3/2020,world,453
3/3/2020,US,643
3/3/2020,Trump,759
3/3/2020,testing,453
3/3/2020,tested,350
3/3/2020,test,323
3/3/2020,state,333
3/3/2020,right,387
3/3/2020,news,397
3/3/2020,media,244
3/3/2020,government,344
3/3/2020,@realDonaldTrump,819
4/3/2020,world,1398
4/3/2020,US,1400
4/3/2020,Trump,1321
4/3/2020,testing,1020
4/3/2020,tested,1099
4/3/2020,test,973
4/3/2020,state,705
4/3/2020,right,922
4/3/2020,news,1072
4/3/2020,media,698
4/3/2020,government,1076
4/3/2020,@realDonaldTrump,1621
5/3/2020,world,1690
5/3/2020,US,1645
5/3/2020,Trump,1762
5/3/2020,testing,1368
5/3/2020,tested,1127
5/3/2020,test,1182
5/3/2020,state,1117
5/3/2020,right,1285
5/3/2020,news,1244
5/3/2020,media,792
5/3/2020,government,1220
5/3/2020,@realDonaldTrump,2269
6/3/2020,world,1387
6/3/2020,US,1718
6/3/2020,Trump,1916
6/3/2020,testing,1296
6/3/2020,tested,1109
6/3/2020,test,1410
6/3/2020,state,801
6/3/2020,right,1161
6/3/2020,news,1142
6/3/2020,media,662
6/3/2020,government,1038
6/3/2020,@realDonaldTrump,1892
7/3/2020,world,1493
7/3/2020,US,2160
7/3/2020,Trump,1966
7/3/2020,testing,1281
7/3/2020,tested,1135
7/3/2020,test,1302
7/3/2020,state,1181
7/3/2020,right,1045
7/3/2020,news,866
7/3/2020,media,668
7/3/2020,government,958
7/3/2020,@realDonaldTrump,1600
8/3/2020,world,1351
8/3/2020,US,2074
8/3/2020,Trump,2182
8/3/2020,testing,1174
8/3/2020,tested,1064
8/3/2020,test,1241
8/3/2020,state,944
8/3/2020,right,995
8/3/2020,news,898
8/3/2020,media,721
8/3/2020,government,992
8/3/2020,@realDonaldTrump,2424
9/3/2020,world,2280
9/3/2020,US,2417
9/3/2020,Trump,3977
9/3/2020,testing,1652
9/3/2020,tested,2022
9/3/2020,test,1678
9/3/2020,state,1246
9/3/2020,right,1904
9/3/2020,news,1721
9/3/2020,media,1415
9/3/2020,government,1702
9/3/2020,@realDonaldTrump,5088
10/3/2020,world,2362
10/3/2020,US,2480
10/3/2020,Trump,3325
10/3/2020,testing,1993
10/3/2020,tested,2130
10/3/2020,test,1677
10/3/2020,state,1546
10/3/2020,right,2017
10/3/2020,news,1896
10/3/2020,media,1453
10/3/2020,government,1719
10/3/2020,@realDonaldTrump,3501
3/3/2020,world,226
3/3/2020,US,318
3/3/2020,Trump,400
3/3/2020,testing,220
3/3/2020,tested,194
3/3/2020,test,181
3/3/2020,state,227
3/3/2020,right,193
3/3/2020,news,202
3/3/2020,media,126
3/3/2020,government,178
3/3/2020,@realDonaldTrump,351
4/3/2020,world,1118
4/3/2020,US,1007
4/3/2020,Trump,1003
4/3/2020,testing,766
4/3/2020,tested,768
4/3/2020,test,767
4/3/2020,state,571
4/3/2020,right,671
4/3/2020,news,764
4/3/2020,media,501
4/3/2020,government,765
4/3/2020,@realDonaldTrump,1061
5/3/2020,world,1160
5/3/2020,US,1089
5/3/2020,Trump,1194
5/3/2020,testing,820
5/3/2020,tested,769
5/3/2020,test,706
5/3/2020,state,729
5/3/2020,right,863
5/3/2020,news,816
5/3/2020,media,498
5/3/2020,government,898
5/3/2020,@realDonaldTrump,1491
6/3/2020,world,1588
6/3/2020,US,1789
6/3/2020,Trump,2095
6/3/2020,testing,1503
6/3/2020,tested,1534
6/3/2020,test,1556
6/3/2020,state,945
6/3/2020,right,1193
6/3/2020,news,1172
6/3/2020,media,749
6/3/2020,government,1096
6/3/2020,@realDonaldTrump,2144
7/3/2020,world,1361
7/3/2020,US,1989
7/3/2020,Trump,1793
7/3/2020,testing,1158
7/3/2020,tested,1064
7/3/2020,test,1234
7/3/2020,state,967
7/3/2020,right,992
7/3/2020,news,818
7/3/2020,media,640
7/3/2020,government,877
7/3/2020,@realDonaldTrump,1512
8/3/2020,world,1390
8/3/2020,US,2047
8/3/2020,Trump,2124
8/3/2020,testing,1153
8/3/2020,tested,1157
8/3/2020,test,1334
8/3/2020,state,950
8/3/2020,right,1165
8/3/2020,news,921
8/3/2020,media,757
8/3/2020,government,1098
8/3/2020,@realDonaldTrump,2147
9/3/2020,world,1771
9/3/2020,US,1810
9/3/2020,Trump,2768
9/3/2020,testing,1196
9/3/2020,tested,1332
9/3/2020,test,1223
9/3/2020,state,838
9/3/2020,right,1325
9/3/2020,news,1239
9/3/2020,media,974
9/3/2020,government,1322
9/3/2020,@realDonaldTrump,3937
10/3/2020,world,2022
10/3/2020,US,1793
10/3/2020,Trump,2551
10/3/2020,testing,1451
10/3/2020,tested,1582
10/3/2020,test,1193
10/3/2020,state,1097
10/3/2020,right,1574
10/3/2020,news,1426
10/3/2020,media,1107
10/3/2020,government,1409
10/3/2020,@realDonaldTrump,2620
11/3/2020,world,1988
11/3/2020,US,1994
11/3/2020,Trump,2185
11/3/2020,testing,1912
11/3/2020,tested,1588
11/3/2020,test,1572
11/3/2020,state,1146
11/3/2020,right,1779
11/3/2020,news,1414
11/3/2020,government,1548
11/3/2020,@realDonaldTrump,2688
12/3/2020,world,1821
12/3/2020,US,1750
12/3/2020,Trump,2129
12/3/2020,testing,1321
12/3/2020,tested,1554
12/3/2020,test,1121
12/3/2020,state,760
12/3/2020,right,1613
12/3/2020,news,1103
12/3/2020,government,1237
12/3/2020,@realDonaldTrump,1992
13/3/2020,world,2891
13/3/2020,US,2313
13/3/2020,Trump,3597
13/3/2020,testing,2131
13/3/2020,tested,2326
13/3/2020,test,1744
13/3/2020,state,1231
13/3/2020,right,2329
13/3/2020,news,1639
13/3/2020,government,1810
13/3/2020,@realDonaldTrump,3594
14/3/2020,world,3133
14/3/2020,US,2300
14/3/2020,Trump,2889
14/3/2020,testing,1687
14/3/2020,tested,1898
14/3/2020,test,1821
14/3/2020,state,1009
14/3/2020,right,2285
14/3/2020,news,1566
14/3/2020,government,2063
14/3/2020,@realDonaldTrump,3036
15/3/2020,world,1791
15/3/2020,US,1423
15/3/2020,Trump,1561
15/3/2020,testing,1297
15/3/2020,tested,1061
15/3/2020,test,949
15/3/2020,state,880
15/3/2020,right,1609
15/3/2020,news,1128
15/3/2020,government,1482
15/3/2020,@realDonaldTrump,1888
16/3/2020,world,2726
16/3/2020,US,2190
16/3/2020,Trump,1889
16/3/2020,testing,1840
16/3/2020,tested,1493
16/3/2020,test,1619
16/3/2020,state,1445
16/3/2020,right,2800
16/3/2020,news,1737
16/3/2020,government,2117
16/3/2020,@realDonaldTrump,2282
11/3/2020,world,1916
11/3/2020,US,1927
11/3/2020,Trump,2057
11/3/2020,testing,1831
11/3/2020,tested,1487
11/3/2020,test,1476
11/3/2020,state,1079
11/3/2020,right,1687
11/3/2020,news,1344
11/3/2020,measures,1018
11/3/2020,government,1436
11/3/2020,@realDonaldTrump,2751
12/3/2020,world,2585
12/3/2020,US,2703
12/3/2020,Trump,3409
12/3/2020,testing,1914
12/3/2020,tested,2580
12/3/2020,test,1712
12/3/2020,state,929
12/3/2020,right,2211
12/3/2020,news,1596
12/3/2020,measures,1026
12/3/2020,government,1593
12/3/2020,@realDonaldTrump,2981
13/3/2020,world,2959
13/3/2020,US,2441
13/3/2020,Trump,3308
13/3/2020,testing,2171
13/3/2020,tested,2824
13/3/2020,test,1905
13/3/2020,state,1210
13/3/2020,right,2435
13/3/2020,news,1842
13/3/2020,measures,1134
13/3/2020,government,2095
13/3/2020,@realDonaldTrump,3556
14/3/2020,world,1946
14/3/2020,US,1507
14/3/2020,Trump,1654
14/3/2020,testing,1107
14/3/2020,tested,1133
14/3/2020,test,1074
14/3/2020,state,603
14/3/2020,right,1482
14/3/2020,news,926
14/3/2020,measures,641
14/3/2020,government,1257
14/3/2020,@realDonaldTrump,1686
15/3/2020,world,2171
15/3/2020,US,1786
15/3/2020,Trump,1983
15/3/2020,testing,1491
15/3/2020,tested,1349
15/3/2020,test,1247
15/3/2020,state,988
15/3/2020,right,1975
15/3/2020,news,1220
15/3/2020,measures,947
15/3/2020,government,1848
15/3/2020,@realDonaldTrump,2386
16/3/2020,world,2553
16/3/2020,US,1853
16/3/2020,Trump,1928
16/3/2020,testing,1546
16/3/2020,tested,1286
16/3/2020,test,1344
16/3/2020,state,1125
16/3/2020,right,2340
16/3/2020,news,1552
16/3/2020,measures,1197
16/3/2020,government,2043
16/3/2020,@realDonaldTrump,2047
11/3/2020,world,1308
11/3/2020,US,1128
11/3/2020,Trump,1223
11/3/2020,testing,1076
11/3/2020,tested,933
11/3/2020,test,855
11/3/2020,state,630
11/3/2020,right,1007
11/3/2020,President,320
11/3/2020,news,838
11/3/2020,measures,692
11/3/2020,government,924
11/3/2020,@realDonaldTrump,1466
12/3/2020,world,2536
12/3/2020,US,2838
